record_id,date,user_id,amount
932,11/17/2019 1:34,10427,37.86
1424,10/31/2018 5:05,10427,48.54
1448,11/12/2018 7:49,10427,31.07
1688,7/19/2017 21:59,10427,49.09
1697,10/27/2019 13:24,10427,52.24
2140,5/25/2016 1:48,10427,31.11
2289,10/5/2019 8:04,10427,44.88
2737,6/8/2016 22:42,10427,26.73
3528,10/6/2017 17:23,10427,71.61
3778,12/25/2019 3:17,10427,40.58
4472,8/23/2016 18:48,10427,47.75
4733,8/17/2016 16:39,10427,91.62
4923,7/15/2019 21:24,10427,75.52
5054,1/23/2017 20:54,10427,17.36
6468,2/26/2016 16:24,10427,38.29
6797,3/13/2019 22:21,10427,45.94
6855,3/9/2018 6:55,10427,20.36
6965,4/16/2016 9:28,10427,11.64
7643,11/7/2016 8:38,10427,61.34
7762,2/12/2019 0:31,10427,48.84
8357,4/14/2016 23:24,10427,35.37
8674,7/10/2018 18:21,10427,39.23
9075,7/26/2019 0:06,10427,25.8
9565,2/13/2016 16:01,10427,48.57
9897,11/4/2018 8:50,10427,44.12
