record_id,date,user_id,amount
870,7/26/2016 1:03,10201,34.36
877,8/7/2017 22:18,10201,-40.55
1077,3/30/2016 21:22,10201,34.83
1855,7/4/2017 22:06,10201,12.6
1897,1/16/2017 16:50,10201,37.36
2010,8/22/2017 20:22,10201,-4.07
2014,2/26/2016 14:44,10201,13.84
2395,1/3/2017 10:36,10201,22.83
2901,1/19/2020 18:42,10201,-34.67
3108,10/29/2018 5:19,10201,-21.2
3177,2/8/2016 3:18,10201,24.03
4084,5/6/2019 21:27,10201,27.91
4188,7/9/2018 20:20,10201,25.22
4300,7/13/2016 7:17,10201,-15.45
5148,3/23/2017 7:12,10201,8.4
7937,9/6/2017 22:55,10201,-12.95
8069,10/12/2016 1:14,10201,-18.44
8072,1/4/2019 3:04,10201,14.17
8706,6/2/2016 2:45,10201,26.62
