record_id,date,user_id,amount
599,4/29/2016 0:14,10231,19.92
866,7/19/2019 23:21,10231,22.96
1072,1/22/2017 5:21,10231,-7.2
1590,10/3/2016 20:56,10231,8.31
1645,9/4/2019 17:44,10231,13.01
2902,6/15/2017 18:30,10231,-14.95
3617,4/9/2017 9:08,10231,41.31
3659,1/24/2020 7:57,10231,8.14
5446,4/9/2016 21:00,10231,43.99
5951,10/24/2016 21:48,10231,22.66
6616,2/12/2016 9:03,10231,-1.04
6805,11/2/2019 13:53,10231,5.48
6865,1/26/2018 2:29,10231,9.36
7483,9/8/2018 8:00,10231,55.94
8744,12/24/2018 19:59,10231,41.47
8839,8/13/2017 2:47,10231,59.7
9218,6/19/2018 10:41,10231,20.42
9422,5/3/2017 16:28,10231,42.77
