record_id,date,user_id,amount
665,10/7/2018 23:56,10135,54.35
839,5/21/2019 5:14,10135,30.14
1427,9/18/2018 1:42,10135,63.59
1492,9/16/2019 21:41,10135,-6.96
1764,12/23/2016 9:14,10135,35.97
3141,2/5/2019 0:58,10135,62.11
3573,5/8/2017 12:00,10135,15.64
3817,8/14/2019 4:46,10135,11.61
4102,4/20/2017 9:15,10135,70.88
4327,4/4/2017 2:37,10135,39.31
5318,5/11/2017 2:20,10135,22.06
5388,3/13/2016 1:53,10135,10.06
5429,2/24/2017 14:45,10135,16.4
6984,7/20/2017 4:19,10135,36.68
7374,3/30/2016 21:05,10135,19.58
7434,2/3/2017 16:21,10135,28.6
7652,5/23/2017 11:20,10135,29.24
7790,2/3/2016 23:21,10135,79.89
8104,10/22/2017 7:28,10135,38.23
